match,home_goals_last5,away_goals_last5,home_form,away_form,h2h_home_wins,home_win
Flamengo vs Palmeiras,12,8,14,6,3,1
Corinthians vs São Paulo,9,10,10,8,2,0
Fluminense vs Botafogo,11,7,12,5,4,1
Vasco vs Cruzeiro,8,11,6,13,1,0
Atlético-MG vs Grêmio,13,9,15,7,3,1
Santos vs Internacional,7,12,5,14,0,0
Bahia vs Fortaleza,10,8,11,9,2,1
Sport vs Ceará,6,10,4,12,1,0
Goiás vs Athletico-PR,9,11,8,10,2,0
Coritiba vs Juventude,8,9,7,11,1,1
Palmeiras vs Flamengo,11,13,12,15,2,0
São Paulo vs Corinthians,10,9,11,9,3,1
Botafogo vs Fluminense,7,11,6,10,1,0
Cruzeiro vs Vasco,12,8,14,7,4,1
Grêmio vs Atlético-MG,9,12,8,13,0,0
Internacional vs Santos,11,7,13,6,2,1
Fortaleza vs Bahia,8,10,5,11,1,0
Ceará vs Sport,10,9,9,8,2,1
Athletico-PR vs Goiás,11,8,12,7,3,1
Juventude vs Coritiba,7,11,4,12,0,0
Flamengo vs Corinthians,13,9,15,8,4,1
Palmeiras vs São Paulo,10,11,11,12,2,0
Botafogo vs Cruzeiro,9,10,7,11,1,0
Fluminense vs Grêmio,12,8,14,6,3,1
Vasco vs Internacional,8,12,6,13,0,0
Atlético-MG vs Fortaleza,11,7,13,5,2,1
Santos vs Ceará,9,10,8,9,1,0
Bahia vs Athletico-PR,10,9,10,8,2,1
Sport vs Juventude,7,11,5,12,0,0
Goiás vs Coritiba,12,8,14,7,3,1
